baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL,ENSEMBL
1.0688569879658107,-2.850355773190214,6.498590845393483,-0.4386113606783976,0.660943163792397,NA,A1BG,ENSMUSG00000022347
0.24593512012722643,-5.4183728311590595,6.791542374740048,-0.797811827150155,0.4249796968404906,NA,A1BG-AS1,NA
4.637152066530187,-5.132580830222619,4.376757581866808,-1.1726902242626451,0.24092005305494088,NA,A1CF,ENSMUSG00000052595
5.651830346544796,-4.286137820487283,3.044895592285231,-1.4076468931634152,0.1592356545485043,NA,A2M,ENSMUSG00000030111
0.8607729204452926,-7.225416916102682,6.773283059478923,-1.066752541220172,0.2860835944287396,NA,A2M-AS1,NA
5.9173434755975896,-4.69235130202223,3.8719478373511342,-1.2118839145395996,0.2255568203533078,NA,A2ML1,ENSMUSG00000047228
1.3342765935762895,-4.297651175917621,6.5365541002681145,-0.6574796307034836,0.5108725641522707,NA,A2MP1,NA
1.3019117312702482,-5.344749482791324,6.615467552189548,-0.8079171185749903,0.4191382959630535,NA,A3GALT2,ENSMUSG00000028794
1.2706647873240033,-7.787198582191118,6.770923156586794,-1.1500940716799724,0.25010512782854405,NA,A4GALT,ENSMUSG00000047878
1.1379549845187638,-5.145474428541009,6.6162200522643,-0.7777060599397763,0.43674231887273357,NA,A4GNT,ENSMUSG00000037953
0.4723857547712005,-2.7128513008392376,6.547159322108054,-0.41435547347666407,0.6786137930706491,NA,AA06,NA
30.096364987321277,-1.194076028616783,1.0040212999371398,-1.189293522648914,0.23432418334038124,0.3625858415898531,AAAS,ENSMUSG00000036678
6.15968382070479,-4.512429806172216,2.667336103560364,-1.6917364857578385,0.09069622847157151,NA,AACS,ENSMUSG00000029482
1.9264917743299403,-8.387486978612401,6.7692354889260935,-1.2390597124791467,0.21532338536466175,NA,AACSP1,NA
1.1488151456201865,-7.588026307982171,6.771657045905679,-1.1205567937865504,0.2624765649104969,NA,AADAC,ENSMUSG00000027761
1.4346215340754875,-7.962254942638986,6.770356638774586,-1.176046605438518,0.2395762528137475,NA,AADACL2,ENSMUSG00000091376
0.7604279799460945,-3.3909124499203953,6.541196195529038,-0.5183933257097704,0.6041838704549902,NA,AADACL2-AS1,NA
2.461371416993631,-4.2234833874099245,6.494120118013223,-0.6503549843026364,0.5154629478331196,NA,AADACL3,ENSMUSG00000078507
1.4151370485922352,-4.43502972972658,6.536071829340628,-0.678546663122274,0.4974251477473485,NA,AADACL4,ENSMUSG00000070609
0.8521485960634627,-4.6387023375202885,6.6186736032403415,-0.7008507467794292,0.48339616462249463,NA,AADACP1,NA
2.637306243206334,-4.712816217516802,5.6861846391432485,-0.8288187100141183,0.40720699935161575,NA,AADAT,ENSMUSG00000057228
138.81828936366745,-0.5419449631990584,0.5789881685920278,-0.9360207904022454,0.3492624834470169,0.4852405905695293,AAED1,NA
