baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ID
1.0688569879658107,-4.419927518741291,6.617546429949179,-0.6679103147260026,0.5041908428083465,NA,A1BG
0.24593512012722643,-4.988047496125929,6.791542374740049,-0.7344498820589115,0.4626745947817805,NA,A1BG-AS1
4.637152066530187,-5.117268926841035,4.396523041051933,-1.1639354278504255,0.24445018092704618,NA,A1CF
5.651830346544796,-5.270813040664608,3.115277424061344,-1.69192412847557,0.0906604407996933,NA,A2M
0.8607729204452926,-6.795091581069467,6.7732830594789215,-1.0032197859441332,0.31575482849889547,NA,A2M-AS1
5.9173434755975896,-7.0692962343655665,4.095803281401585,-1.7259852948666157,0.08435005829270951,NA,A2ML1
1.3342765935762895,-4.86726880171225,6.615638751100085,-0.73572167175889,0.4619000980293763,NA,A2MP1
1.3019117312702482,-7.356975206506703,6.770922805421877,-1.086554287787115,0.2772338365117824,NA,A3GALT2
1.2706647873240033,-7.356873247158045,6.770923156586793,-1.0865391730226972,0.27724051965748864,NA,A4GALT
1.1379549845187638,-7.1577009728775245,6.771657045905948,-1.0570087829839188,0.2905075790186071,NA,A4GNT
0.4723857547712005,-5.725031393514435,6.781322015852448,-0.8442352951432242,0.39853793516885455,NA,AA06
30.096364987321277,-0.9420649724118035,1.0071879974854732,-0.9353417383484964,0.3496122117996153,0.48998396099364816,AAAS
6.15968382070479,-3.81904612678905,2.654299935179866,-1.4388148363234075,0.15020299170080603,NA,AACS
1.9264917743299403,-7.957161643579276,6.769235488926097,-1.1754889686725372,0.2397991479681264,NA,AACSP1
1.1488151456201865,-4.715147758396151,6.616222441356472,-0.7126646360803797,0.4760533045799682,NA,AADAC
1.4346215340754875,-7.531929607605769,6.77035663877458,-1.1124863887479097,0.2659290792388489,NA,AADACL2
0.7604279799460945,-3.960531972820588,6.620227719393383,-0.598247090688218,0.5496750744732437,NA,AADACL2-AS1
2.461371416993631,-8.235599574824777,6.768661364188143,-1.2167250112995693,0.22370885958307277,NA,AADACL3
1.4151370485922352,-7.447199083366295,6.770622272486303,-1.0999283055014586,0.2713633607297084,NA,AADACL4
0.8521485960634627,-4.20837565482354,6.618675990125452,-0.635833459909823,0.5248849762387093,NA,AADACP1
2.637306243206334,-4.867422751297142,5.716594855608829,-0.8514549087769404,0.3945167011860843,NA,AADAT
138.81828936366745,0.17502469123972175,0.5772059843981381,0.3032274369473539,0.7617165410551083,0.8386427343774169,AAED1
9.570650755843776,-2.920499096065117,1.894214969141764,-1.5417991852257111,0.12312240014078882,0.2245622483256252,AAGAB
5019.758665419798,0.598511435175683,0.3279508494142622,1.825003460868165,0.06800050707849985,0.14497230912595266,AAK1
50.99246249121611,-0.5461429539749322,0.9452869695563187,-0.5777536045284435,0.5634304828233669,0.6831322895373376,AAMDC
184.63925839276848,1.3436748997220596,0.4570740473550224,2.9397313356502806,0.0032849694700778404,0.016940399464157103,AAMP
2.052488997613048,-4.419663468247227,6.36021478159754,-0.6948921726723682,0.48712287836077645,NA,AANAT
28.14510906713901,-0.7685270894849641,1.0594399309559235,-0.7254088382259943,0.4682012525818696,0.6006737353647467,AAR2
1.1886864139482611,-7.260674598365401,6.77126499390831,-1.072277425990178,0.2835954429137615,NA,AARD
169.9931779356776,1.1388326862333973,0.5627035261038356,2.0238591610020387,0.0429846449610571,0.10463730079462456,AARS
6.348214667111077,-4.976016282739165,2.971628022130104,-1.6745084666324717,0.09403071184364559,NA,AARS2
0.20494593343935538,-4.725058469971574,6.796645801005456,-0.6952044594221134,0.48692717806224517,NA,AARSD1
6.702143000467137,-4.7684378651406485,2.38675433356157,-1.997875440337035,0.04573016587739404,0.1095648611478889,AASDH
65.74920183530047,0.642398150967648,0.7729046837279212,0.8311479597577205,0.4058900491287474,0.5456168005544842,AASDHPPT
5.145428015356955,-5.831272829025143,3.66280349359662,-1.5920244804886423,0.11137920408181687,NA,AASS
2.6665628662699197,-3.452629590172145,4.926697885712834,-0.7007999415155108,0.48342787457324615,NA,AATBC
131.71084314780182,0.05115138478710531,0.533735421459792,0.09583659380747828,0.9236503534535702,0.9492725892394948,AATF
4.195119888567706,-8.707310786715409,3.642655874642346,-2.3903742451571373,0.016831212087851734,NA,AATK
1.6298252247732166,-7.68812361231284,6.769906010382716,-1.1356322525780849,0.25611050475626845,NA,AATK-AS1
0.6145847004483502,-5.210355026113739,6.787895346332903,-0.7675950733283748,0.44272779026113174,NA,ABALON
5.060556523726196,-6.7552907798718564,3.4222759051655762,-1.9739176405021683,0.048391108566518085,NA,ABAT
163.84661381247366,-3.049954813418298,1.1180631061283783,-2.7278914729416854,0.006374057501528549,0.027299417325625564,ABCA1
6.418918479722179,-5.545869116218725,3.315846899851569,-1.6725347350829078,0.09441892434864209,NA,ABCA10
0.7787945470695504,-6.6507266099411515,6.774052932931117,-0.9817943077488468,0.32620119303179085,NA,ABCA11P
10.53085840570188,-4.679827384359247,2.8374871078063935,-1.6492858668799844,0.09908908368156472,0.1913642076660508,ABCA12
15.60564096557511,-5.086253103601458,2.056746042756884,-2.4729611716105655,0.013399870081364213,0.045520551857294395,ABCA13
3.6092842652522474,-5.386529095055815,5.957044903587226,-0.9042283854217958,0.3658743116329469,NA,ABCA17P
316.5947232049309,0.37365164776079957,0.4522964308900898,0.8261211502940174,0.40873537096868556,0.5487940735133471,ABCA2
16.127863458015057,-9.563621717771,2.5236082919891674,-3.789661711022802,1.508525813086989e-4,0.0014846918633108954,ABCA3
9.693484469232121,-5.33260863604602,2.378551762848723,-2.2419561009087765,0.0249642096527746,0.07092387991751488,ABCA4
