baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL,ENSEMBL
1.0688569879658107,-1.5696002456633893,6.649625512171789,-0.23604340466847626,0.8133989895568468,NA,A1BG,ENSMUSG00000022347
0.24593512012722643,0.42985286049529386,7.066674479900003,0.060828167721315,0.9514960572541534,NA,A1BG-AS1,NA
4.637152066530187,0.01522522349346929,4.453107403388826,0.0034190110667177837,0.997272029171484,NA,A1CF,ENSMUSG00000052595
5.651830346544796,-0.9847088760935205,3.1539840836612085,-0.3122111113986506,0.7548800882084639,NA,A2M,ENSMUSG00000030111
0.8607729204452926,0.4297626024702921,7.06667447976886,0.06081539537453676,0.9515062292804091,NA,A2M-AS1,NA
5.9173434755975896,-2.3769724563006354,4.1301227935578995,-0.5755210135660372,0.5649389831455749,0.9901385865609099,A2ML1,ENSMUSG00000047228
1.3342765935762895,-0.5697971915141543,6.688605762462185,-0.08518923251718198,0.9321109506695247,NA,A2MP1,NA
1.3019117312702482,-2.0124545112520327,6.917935522306531,-0.29090391270097493,0.7711248087666461,NA,A3GALT2,ENSMUSG00000028794
1.2706647873240033,0.42973454264616656,7.066674479751908,0.060811424649243696,0.9515093916078341,NA,A4GALT,ENSMUSG00000047878
1.1379549845187638,-2.0124453786569116,6.917936473793037,-0.2909025525574836,0.7711258490431059,NA,A4GNT,ENSMUSG00000037953
0.4723857547712005,-3.0121920550097276,6.842383802560693,-0.44022553278616805,0.6597737688491074,NA,AA06,NA
30.096364987321277,0.2520102521125968,1.0173886215297623,0.24770303773760516,0.8043641813325535,0.9946526706943599,AAAS,ENSMUSG00000036678
6.15968382070479,0.6933564265633437,2.727198349695074,0.25423762325203353,0.7993119861098325,0.9946526706943599,AACS,ENSMUSG00000029482
1.9264917743299403,0.4297045594839056,7.066674479739817,0.060807181753718846,0.9515127706953409,NA,AACSP1,NA
1.1488151456201865,2.8722076797831835,6.917913365794937,0.4151841065233025,0.6780071327410296,NA,AADAC,ENSMUSG00000027761
1.4346215340754875,0.42972579894417245,7.066674479747865,0.06081018733432657,0.951510377018616,NA,AADACL2,ENSMUSG00000091376
0.7604279799460945,-0.5697575554615679,6.6886078984075965,-0.08518327940814321,0.9321156833602707,NA,AADACL2-AS1,NA
2.461371416993631,-4.0121213736744386,6.804281943356367,-0.5896465500803996,0.5554276363680335,NA,AADACL3,ENSMUSG00000078507
1.4151370485922352,-3.0122673300505656,6.842379837356866,-0.440236789194996,0.6597656170019239,NA,AADACL4,ENSMUSG00000070609
0.8521485960634627,0.43004095461227165,6.76588193665244,0.06356022151120232,0.9493204063001109,NA,AADACP1,NA
2.637306243206334,-0.15474656186584493,5.77392869094231,-0.026800913234103375,0.9786185248252885,NA,AADAT,ENSMUSG00000057228
138.81828936366745,0.7169704327388606,0.5781859841356186,1.2400342665011557,0.21496272011133735,0.8379444075472797,AAED1,NA
9.570650755843776,-0.3997265384239372,1.920519953037383,-0.20813454074858886,0.8351239180529725,0.9946526706943599,AAGAB,ENSMUSG00000037257
5019.758665419798,0.04524959216477535,0.32782514533330664,0.1380296563851719,0.8902169794673506,0.9946526706943599,AAK1,ENSMUSG00000057230
50.99246249121611,-1.335182255331889,0.924552542774582,-1.444138860215567,0.14869991888516765,0.7615823248890732,AAMDC,ENSMUSG00000035642
184.63925839276848,1.3897066172390233,0.4551685812529886,3.053169033357789,0.0022643834955044123,0.10923081319165673,AAMP,ENSMUSG00000006299
2.052488997613048,3.8721913221622217,6.675714182209546,0.5800415081402711,0.5618866267092673,NA,AANAT,ENSMUSG00000020804
28.14510906713901,1.9828811543572233,1.1109173491683944,1.7849043007938978,0.07427684094880273,0.6048617047917345,AAR2,ENSMUSG00000027628
1.1886864139482611,0.429739347568815,7.066674479754375,0.06081210459035492,0.9515088500955209,NA,AARD,ENSMUSG00000068522
169.9931779356776,0.13600511800812035,0.5570019722543974,0.24417349449887268,0.8070964541938844,0.9946526706943599,AARS,ENSMUSG00000031960
6.348214667111077,-0.9847326882954547,3.011521660199944,-0.32698841297062936,0.7436766490376855,0.9946526706943599,AARS2,ENSMUSG00000023938
0.20494593343935538,0.4298659962829953,7.066674479936733,0.0608300265568259,0.9514945768593962,NA,AARSD1,ENSMUSG00000075528
6.702143000467137,2.0152006678432,2.7843914815290143,0.7237490421916452,0.4692198188270561,0.9763985775107236,AASDH,ENSMUSG00000055923
65.74920183530047,0.40589697590771395,0.7667082123123914,0.5294021498524569,0.5965265071397385,0.9946526706943599,AASDHPPT,ENSMUSG00000025894
5.145428015356955,-0.15467231031561054,3.753932065030247,-0.041202746250114754,0.9671342643426537,NA,AASS,ENSMUSG00000029695
2.6665628662699197,-0.15478353381304774,4.957103612837638,-0.0312245911931713,0.9750904285373121,NA,AATBC,NA
131.71084314780182,-0.26678036761075996,0.5304747998502979,-0.5029086540699887,0.6150284964073969,0.9946526706943599,AATF,ENSMUSG00000018697
4.195119888567706,-3.5972722874906586,3.7331278882304484,-0.96360810430092525,0.33524244214709437,NA,AATK,ENSMUSG00000025375
1.6298252247732166,-2.0124696876603614,6.917933941154917,-0.2909061729670678,0.7711230800517084,NA,AATK-AS1,NA
0.6145847004483502,0.42962052089282204,7.06667447807918,0.06079528952769859,0.9515222417963498,NA,ABALON,NA
5.060556523726196,-1.1546124246646228,3.519515083581536,-0.3280600870417818,0.7428662313368753,NA,ABAT,ENSMUSG00000057880
163.84661381247366,0.37506428298857847,1.124189915305426,0.33363071299806046,0.7386582392956043,0.9946526706943599,ABCA1,ENSMUSG00000015243
