,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
SELL,27.74208824,-1.201691995,0.961598408,29.1186532,4.75E-07,9.19E-06,0.357017105
ACTG2,483.9086409,-1.586901698,0.387451561,29.06426142,4.88E-07,9.38E-06,0.000232784
TTN,969.2577616,1.733384165,0.395874082,28.69178391,5.88E-07,1.11E-05,5.02E-05
IGFBP4,17.73301461,-2.691806869,1.554139115,28.60805392,6.14E-07,1.15E-05,0.373817875
KLF9,274.0874988,1.113823607,0.415808435,28.12114596,7.83E-07,1.43E-05,0.224795852
TANC1,145.3582235,-1.257156375,0.47765064,27.3657258,1.14E-06,2.02E-05,0.248877597
CACNB1,59.43320872,-1.069232138,0.690599097,27.2842226,1.19E-06,2.09E-05,0.328061633
TDRKH,72.80499941,-1.260078248,0.622507216,25.50546356,2.89E-06,4.59E-05,0.301179346
DKC1,773.5338979,-1.148974506,0.276197389,25.38028206,3.08E-06,4.86E-05,0.000124099
SIK1,152.1305618,1.019310891,0.466933308,25.32065961,3.17E-06,4.98E-05,0.259144185
POLE,181.3370802,-1.03982969,0.471284969,25.22086285,3.34E-06,5.21E-05,0.262262375
CHEK1,66.05351106,-1.134103373,0.574241742,25.21373522,3.35E-06,5.22E-05,0.292025634
PDLIM1,92.68273431,-1.107386083,0.506375963,25.08762726,3.57E-06,5.52E-05,0.268012366
ADGRB2,22.0923814,1.365019456,1.114826004,24.38893902,5.06E-06,7.60E-05,0.372498861
OSR2,60.63357199,2.348202514,0.888286305,24.1355329,5.74E-06,8.54E-05,0.310164348
CDC20,51.77529399,-1.122280537,0.546095441,24.11564763,5.80E-06,8.61E-05,0.281769233
HIST1H4L,92.06075893,-1.393046036,0.48124378,24.01193873,6.11E-06,9.01E-05,0.233958725
TLR6,20.53025056,-1.616031128,1.329785396,23.81749303,6.73E-06,9.77E-05,0.37158784
MPP6,341.1575663,-1.275990841,0.335200539,22.73449129,1.16E-05,0.000157057,0.000647724
COL27A1,14.85900722,-2.249415623,1.554146757,22.63474294,1.22E-05,0.000164148,0.377387681
ID3,67.14550128,-1.770144323,0.708971039,22.21345272,1.50E-05,0.000198038,0.294442819
PYGL,80.51061157,-1.037041422,0.589060652,21.59488127,2.05E-05,0.000262169,0.305036108
ZC3H12B,84.52314955,1.858841497,0.737474183,21.31785262,2.35E-05,0.00029645,0.305284018
CDC45,54.76406634,-1.138310571,0.623910067,21.04673102,2.69E-05,0.000335329,0.305490092
SLC17A6,47.61099644,2.719901877,0.905471873,20.80326794,3.04E-05,0.000374154,0.281717166
KLF2,24.3196461,-1.504862228,1.008424218,20.360426,3.79E-05,0.000454511,0.349515463
HOXA2,22.34950484,1.201493487,1.230461945,20.3226168,3.86E-05,0.000461825,0.383470245
ETV5,64.23677302,1.036708458,0.567632677,20.22980814,4.05E-05,0.000481639,0.298725714
CLGN,52.64195936,1.766502256,0.776240639,20.0110818,4.51E-05,0.000531857,0.310242539
PDE4D,877.9663964,1.087871705,0.244211223,19.87120413,4.84E-05,0.000565476,3.25E-05
MIR21,116.476593,1.032336008,0.569427422,19.76852573,5.10E-05,0.000590185,0.297762789
MAD2L1,44.22355631,-1.10631417,0.583677384,19.24014304,6.64E-05,0.000747934,0.296119504
HIST1H2BK,31.35896479,-1.364779241,0.746729421,19.08604309,7.17E-05,0.000800599,0.319304829
DNAH17,24.92208746,2.353798631,1.254872426,18.73928761,8.53E-05,0.000938011,0.353307592
POC1A,54.75795602,-1.884279033,0.603780941,18.68503349,8.76E-05,0.000959914,0.252967074
RFC4,108.2340362,-1.336153976,0.453948314,18.56930918,9.28E-05,0.001007106,0.230945956
ANGPTL1,11.45036022,-2.725396908,1.573268756,18.41140278,0.000100465,0.001067295,0.367002449
ARRB1,33.6681003,1.000681376,0.800633491,18.40514562,0.00010078,0.001068161,0.349176433
C4orf32,31.47235045,-1.397472124,0.916030039,18.24544977,0.000109157,0.001137235,0.34507372
KDM7A,6160.506282,1.154133663,0.268178176,18.0292024,0.000121621,0.001253158,6.82E-05
HIST1H3H,37.9167035,-1.081602727,0.615093633,18.02490626,0.000121882,0.001254265,0.307313148
ZC3H6,89.64702292,1.246198989,0.520767529,17.73868608,0.000140635,0.001413294,0.267410632
SCML4,13.7045179,-1.503098791,1.320515941,17.70657151,0.000142911,0.001432634,0.376280635
MASTL,51.51105792,-1.368561317,0.595189575,17.47137591,0.000160746,0.001589877,0.281665042
TET1,14.31976332,2.175471797,1.421090945,17.18465438,0.000185524,0.001799957,0.369778796
GLP1R,34.70024584,2.365483538,0.906727485,17.13302682,0.000190375,0.001842633,0.315436319
HOXA3,13.27875658,3.591108613,1.574778486,16.65922041,0.000241266,0.002288935,0.359329322
TNFAIP3,2027.276291,1.128926864,0.622027106,16.09663953,0.000319639,0.00296677,0.3064691
DSCAM,50.81388374,2.430926952,0.802018872,15.80665927,0.000369511,0.003364453,0.027366747
DLG3,119.2383517,1.544297214,0.476061927,15.7540496,0.00037936,0.003438743,0.008579397
FMO5,14.33430827,1.825022071,1.179768028,15.11930268,0.000521057,0.004483513,0.35876327
POU6F1,42.97172081,1.463017751,0.688329119,15.08816985,0.000529231,0.004539455,0.302538656
RASGRF2,37.44866087,1.158104314,0.695351151,14.25100407,0.000804329,0.006444133,0.320015186
LINGO1,30.10789034,2.652300888,1.006898147,14.24513506,0.000806693,0.006456716,0.32518646
CSGALNACT2,193.7109904,1.048470943,0.343253496,14.15877955,0.000842287,0.006683487,0.015478039
DHFRL1,31.63135899,-1.319751906,0.828531011,14.026793,0.000899747,0.007049032,0.343914242
HIST1H2AG,43.42527678,-1.118148594,0.592564796,13.78201653,0.001016888,0.007853386,0.297055358
ITGAE,47.16692663,-1.652126433,0.756799459,13.72266988,0.001047515,0.008044122,0.307911906
MICAL3,19.48552833,-2.678220639,1.260752587,13.7141311,0.001051996,0.008063325,0.349019414
FBXO32,128.0176203,1.564008169,0.436667621,13.22035052,0.001346596,0.0099018,0.001911732
