baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ID,S-value
1.0688569879658107,-2.850355773190214,6.498590845393483,-0.4386113606783976,0.660943163792397,NA,A1BG,0.35637687699314513
0.24593512012722643,-5.4183728311590595,6.791542374740048,-0.797811827150155,0.4249796968404906,NA,A1BG-AS1,0.31415458114719436
4.637152066530187,-5.132580830222619,4.376757581866808,-1.1726902242626451,0.24092005305494088,NA,A1CF,0.22912970813873706
5.651830346544796,-4.286137820487283,3.044895592285231,-1.4076468931634152,0.1592356545485043,NA,A2M,0.18408980107291986
0.8607729204452926,-7.225416916102682,6.773283059478923,-1.066752541220172,0.2860835944287396,NA,A2M-AS1,0.2966773846305552
5.9173434755975896,-4.69235130202223,3.8719478373511342,-1.2118839145395996,0.2255568203533078,NA,A2ML1,0.21453640310210648
1.3342765935762895,-4.297651175917621,6.5365541002681145,-0.6574796307034836,0.5108725641522707,NA,A2MP1,0.3401196629883539
1.3019117312702482,-5.344749482791324,6.615467552189548,-0.8079171185749903,0.4191382959630535,NA,A3GALT2,0.32452156354950135
1.2706647873240033,-7.787198582191118,6.770923156586794,-1.1500940716799724,0.25010512782854405,NA,A4GALT,0.2885947420688625
1.1379549845187638,-5.145474428541009,6.6162200522643,-0.7777060599397763,0.43674231887273357,NA,A4GNT,0.3289179859438587
0.4723857547712005,-2.7128513008392376,6.547159322108054,-0.41435547347666407,0.6786137930706491,NA,AA06,0.3572510085762105
30.096364987321277,-1.194076028616783,1.0040212999371398,-1.189293522648914,0.23432418334038124,0.3625858415898531,AAAS,0.05923073397565325
6.15968382070479,-4.512429806172216,2.667336103560364,-1.6917364857578385,0.09069622847157151,NA,AACS,0.15443155927866167
1.9264917743299403,-8.387486978612401,6.7692354889260935,-1.2390597124791467,0.21532338536466175,NA,AACSP1,0.2824117985529999
1.1488151456201865,-7.588026307982171,6.771657045905679,-1.1205567937865504,0.2624765649104969,NA,AADAC,0.2906640834785843
1.4346215340754875,-7.962254942638986,6.770356638774586,-1.176046605438518,0.2395762528137475,NA,AADACL2,0.28636807611520537
0.7604279799460945,-3.3909124499203953,6.541196195529038,-0.5183933257097704,0.6041838704549902,NA,AADACL2-AS1,0.352319650686173
2.461371416993631,-4.2234833874099245,6.494120118013223,-0.6503549843026364,0.5154629478331196,NA,AADACL3,0.3420850110896712
1.4151370485922352,-4.43502972972658,6.536071829340628,-0.678546663122274,0.4974251477473485,NA,AADACL4,0.33917743822515356
0.8521485960634627,-4.6387023375202885,6.6186736032403415,-0.7008507467794292,0.48339616462249463,NA,AADACP1,0.3367059342901782
2.637306243206334,-4.712816217516802,5.6861846391432485,-0.8288187100141183,0.40720699935161575,NA,AADAT,0.2657551064149746
138.81828936366745,-0.5419449631990584,0.5789881685920278,-0.9360207904022454,0.3492624834470169,0.4852405905695293,AAED1,0.05826250958621858
9.570650755843776,-2.520775674224399,1.8673180210460905,-1.349944490340341,0.17703378918980317,0.2951858680343699,AAGAB,0.11260433838684152
5019.758665419798,0.5532626346430981,0.32790927315153107,1.687243027090083,0.09155663103585904,0.1858043053352971,AAK1,0.010735568692413917
50.99246249121611,0.7890422765471727,0.9055980885473117,0.8712941055484023,0.38359358810344135,0.5190130584879401,AAMDC,0.08339928403523822
184.63925839276848,-0.04603143249594632,0.4604746430956376,-0.09996518415539743,0.9203719659704679,0.9498002401803927,AAMP,0.2642359115249172
2.052488997613048,-8.292521482778032,6.601022013067518,-1.25624811830077,0.20902602579561874,NA,AANAT,0.2743313630751936
28.14510906713901,-2.75141417446581,1.1017558240711995,-2.4972994145824488,0.012514324193578081,0.04570909739874188,AAR2,0.010751075868761372
1.1886864139482611,-7.690999933398534,6.771264993908316,-1.1358291161721843,0.25602808891826084,NA,AARD,0.29135889729022096
169.9931779356776,1.0028288607596705,0.5619146905809714,1.7846638957291394,0.07431585051036717,0.16011062828873907,AARS,0.012567201444901222
6.348214667111077,-3.9913231788693535,2.897756374165474,-1.3773839700443473,0.1683935662357788,NA,AARS2,0.1741152007018936
0.20494593343935538,-5.155383805004631,6.796645801005457,-0.75851882766084,0.4481404461415982,NA,AARSD1,0.3165482121735049
6.702143000467137,-6.783719588093465,2.661585314883672,-2.5487515091696227,0.010810930107216113,0.04124353997369931,AASDH,0.12157794478261898
65.74920183530047,0.23650268975218888,0.7727112446126242,0.30606865294260405,0.759552374651249,0.8372962870952076,AASDHPPT,0.19366683373923013
5.145428015356955,-5.676664157447731,3.6151475569407787,-1.5702441098286608,0.11635833121420698,NA,AASS,0.19636189441350443
2.6665628662699197,-3.2979873252899217,4.90906731441919,-0.6718154618908743,0.5017011841369043,NA,AATBC,0.2689583513060799
131.71084314780182,0.3179329571000703,0.5305464439740168,0.599255655581476,0.5490024139909491,0.6656110157916528,AATF,0.11048393286475777
4.195119888567706,-5.110104532688914,3.1305407193192276,-1.6323392636784375,0.10260803622434538,NA,AATK,0.17832671758089447
1.6298252247732166,-5.6758992521699065,6.614425188314626,-0.8581092219770259,0.39083215558837336,NA,AATK-AS1,0.32186458557077885
0.6145847004483502,-5.640625043578994,6.7878953460186375,-0.8309829123820298,0.40598328255662264,NA,ABALON,0.3541562037458704
5.060556523726196,-5.60072511208975,3.2131986297408703,-1.7430373149827412,0.08132709695534773,NA,ABAT,0.17920788207164215
163.84661381247366,-3.4250202773970653,1.1177896960190612,-3.0641007781652156,0.0021832535033463074,0.012405344407417859,ABCA1,0.0026538111548411094
6.418918479722179,-6.561149297119678,3.367739064496809,-1.9482356475560294,0.05138677323341685,NA,ABCA10,0.18789807080156035
